id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
1145166459,Vegetables in fabric shopping bag on yellow background.,886,Japan,,other,Other
1433360712,Mother and son making compost from vegetable leftovers,887,Spain,,other,Other
1650172863,"Mandarin Peel Isolated, Peeled Tangerine, Fresh Citrus Rind, Mandarins Skin, Tangerines Shell Isolated",888,,,other,Other
1344219777,Woman emptying food waste onto garden compost heap,889,UK,,fruit_vegetables_production,Fruit vegetables production
1323104157,"food waste, mostly seeing in hotels and party events""tconsidering as a social issue",890,United Arab Emirates|Persian Gulf Countries,,leftovers,Leftovers
1218255990,Compost bin heap with food and vegetables leftovers,891,Spain,,compost,Compost
1199964070,Earthwoms living in a colorful compost heap,892,Germany,,compost,Compost
1677783001,"selective focus of  Woman hand gesturing ""no"" to blueberry cheesecake full of calorie -diet concept",893,,,other,Other
1367466312,Various freshly just caught fish on a fishing wooden boat with pieces of plastic or microplastic,894,Southern Italy|Puglia|Bari|Europe|Italy,,other,Other
1367466298,Various freshly just caught fish on a fishing wooden boat with pieces of plastic or microplastic,895,Southern Italy|Puglia|Bari|Europe|Italy,,other,Other
942314054,Green compost box outside in snow. Recycling in winter time.,896,England|Sweden,,other,Other
1096776630,"Worm vermicompost with rotting food scraps for gardening hobby, making natural fertilizer for plants",897,Canada,,fruit_vegetables_consumption,Fruit vegetables consumption
1391252316,Mother and kids preparing healthy salads at home.,898,Poland,,leftovers,Leftovers
182788172,trash,899,,,other,Other
1158607004,"Garbage removal,Djemaa El Fna Square, Marrakech, Morocco,North Africa",900,Morocco|Marrakesh|North Africa|Djemma El Fna Square,,other,Other
1147291275,organic food waste,901,Germany,,other,Other
519570191,Young woman throw a lollipop into the trash,902,Coney Island - Brooklyn,,other,Other
485397362,Environmental unfriendly disposed styrofoam plates and cups,903,,,packaging,Packaging
1353105819,"Zero waste and eco friendly christmas concept. Dried orange on a Christmas tree branch on a background of a wooden wall, copy space",904,,,other,Other
121104053,Container with Peeling for Compost,905,,,other,Other
1304076473,One rotten strawberry.,906,,,other,Other
1033161308,"Various types of packaged muruku, popular Indian food in Malaysia",907,Malaysia|India,,other,Other
