query,cluster,text,videosNumber,ids,querySlug
glyphosate,0,législatives2022,3,7100937991048154373|7100937991048154373|7100937991048154373,glyphosate
glyphosate,0,loi,4,7185184714158886149|7253108737865469211|7185184714158886149|7253108737865469211,glyphosate
glyphosate,0,leakygut,6,7170582969474665774|7182954347746168110|7204226560751127854|7204216430160645419|7216316067843427630|7239121237295877418,glyphosate
glyphosate,1,traitementvigne,7,7058670725296655621|7064526952689847557|7060766140900969733|7058670725296655621|7064526952689847557|7060766140900969733|7058670725296655621,glyphosate
glyphosate,1,perturbateursendocriniens,6,7144250532159376645|7235874569733688603|7315875322954583329|7144250532159376645|7235874569733688603|7315875322954583329,glyphosate
glyphosate,1,poison,9,7223285903559626010|7223285903559626010|7065407449389468930|7079961985844235566|7137474774124481838|7170582969474665774|7227526414952615211|7250535994733169962|7261230632531922219,glyphosate
glyphosate,1,toxic,7,7241836523023273243|7241836523023273243|7057698941634268463|7137458427676364078|7137355332971400454|7250288626049895726|7261566747117997338,glyphosate
glyphosate,1,chemicals,4,7259672057317772570|7259672057317772570|7239072468571262254|7284530044746140961,glyphosate
glyphosate,1,monsanto,19,7253954574459866395|7306906801058909473|7315875322954583329|7253954574459866395|7306906801058909473|7315875322954583329|7056536482663746863|7065552096812109057|7078782030481362222|7092119241280769322|7182993558264352046|7204923679220731141|7204548253113683243|7204544514881588523|7273212875701816607|7284356531208899883|7284355428069149994|7306906801058909473|7318442049584254240,glyphosate
glyphosate,1,dangereux,3,7284395861491207457|7284395861491207457|7284395861491207457,glyphosate
glyphosate,1,toxique,3,7284395861491207457|7284395861491207457|7284395861491207457,glyphosate
glyphosate,1,inadmissible,3,7284395861491207457|7284395861491207457|7284395861491207457,glyphosate
glyphosate,1,macrondemission,3,7307285860230221089|7307285860230221089|7307285860230221089,glyphosate
glyphosate,1,monsantopapers,3,7306906801058909473|7306906801058909473|7306906801058909473,glyphosate
glyphosate,1,endometriose,4,7316069235082431776|7315875322954583329|7316069235082431776|7315875322954583329,glyphosate
glyphosate,1,tampons,5,7315875322954583329|7315839705621237024|7315875322954583329|7315839705621237024|7171610402516782382,glyphosate
glyphosate,1,mycotoxins,3,7069852132203056430|7273212875701816607|7273189534387457323,glyphosate
glyphosate,1,heavymetaltoxicity,3,7069852132203056430|7159643371508813102|7239072468571262254,glyphosate
glyphosate,1,monsantokills,4,7068016781868338478|7273455658127625514|7284356531208899883|7284355428069149994,glyphosate
glyphosate,1,nontoxic,3,7065379283170151727|7125876584594083118|7171913514695593222,glyphosate
glyphosate,1,toxins,7,7079961985844235566|7101700550541970731|7148838505618197806|7181498210043874606|7216790312771947818|7239335585951894826|7296089614807371054,glyphosate
glyphosate,1,hormones,8,7101700550541970731|7137474774124481838|7171960307810635051|7181498210043874606|7227204491525917998|7239121237295877418|7239072468571262254|7273189534387457323,glyphosate
glyphosate,1,microbiome,4,7101700550541970731|7181498210043874606|7227204491525917998|7261337503402102058,glyphosate
glyphosate,1,toxinfree,3,7126550781624438058|7182641843547557166|7182412473851497774,glyphosate
glyphosate,1,rootcause,3,7126550781624438058|7273189534387457323|7318400014332611871,glyphosate
glyphosate,1,antiinflammatory,4,7137902874595495195|7193686978058063109|7261337503402102058|7318773180355595566,glyphosate
glyphosate,1,endocrinedisruptors,3,7137822286459178286|7137474774124481838|7239072468571262254,glyphosate
glyphosate,1,bigpharma,4,7149307964065778990|7204548253113683243|7239084391081725226|7250582471367232814,glyphosate
glyphosate,1,moldtoxicity,3,7148838505618197806|7182954347746168110|7273189534387457323,glyphosate
glyphosate,1,moldillness,3,7148838505618197806|7182954347746168110|7273189534387457323,glyphosate
glyphosate,1,inflammation,10,7148491275141057838|7171661779569741098|7182954347746168110|7181498210043874606|7204226560751127854|7204216430160645419|7216088253013806379|7227204491525917998|7239121237295877418|7295938904027401518,glyphosate
glyphosate,1,mycotoxin,19,7160703878302813482|7160703107943419182|7160693020139081002|7160655763755552043|7160655124413680938|7160511527844400426|7216843275955604778|7227653324231724330|7239373272394059054|7238790737138158894|7238790036743884075|7238789225955495211|7238788689885711659|7238787963952434474|7261660232034569515|7261233087978327342|7284492817034923307|7284489139012078894|7318254133834829099,glyphosate
glyphosate,1,nontoxicliving,5,7171913514695593222|7261566747117997338|7296098911922457899|7307255023312981291|7318531827629591851,glyphosate
glyphosate,1,immunesystem,4,7181498210043874606|7227204491525917998|7284490036060409118|7318517692032519470,glyphosate
glyphosate,1,chemicalfree,3,7216467926763719978|7238815976576371969|7261337503402102058,glyphosate
glyphosate,1,histamine,11,7227653324231724330|7239373272394059054|7238790737138158894|7238790036743884075|7238789225955495211|7238788689885711659|7238787963952434474|7261660232034569515|7261233087978327342|7284492817034923307|7284489139012078894,glyphosate
glyphosate,1,masscell,11,7227653324231724330|7239373272394059054|7238790737138158894|7238790036743884075|7238789225955495211|7238788689885711659|7238787963952434474|7261660232034569515|7261233087978327342|7284492817034923307|7284489139012078894,glyphosate
glyphosate,2,flore,6,7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206,glyphosate
glyphosate,2,fy,8,7100937991048154373|7291630617710644513|7290886505545862432|7100937991048154373|7291630617710644513|7290886505545862432|7100937991048154373|7250522406194892059,glyphosate
