username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count
julienericschaff,Nettoyage de l’arbre à chat avec le rainbow srx!! Un vrai régale pour les chats et bye bye les allergie !! #rainbowsrx #purificateurdair #nettoyageextreme #nettoyage,"nettoyage,rainbowsrx,purificateurdair,nettoyageextreme",7173309927023299845,12,7153075272433060650,FR,2,1670166374,0,501
nailsdiams,Nouvelle Technologie pour un air pur certification EUROVENT #seulaumonde #air #eurovent #hyla #asthmaproblems #asthmeaigugrave #asthmeallergique #acariens #nanoparticletechnology #nanoparticules #purification #purificateurdair #eau #bienetre #bienetreaunaturel #airpurifier #maladie #covid #covid19 #medical #appareilmedicaux #appareilmedical #sante #medical #allergies #allergenes #virus #poussieredansloeil #normessanitaires #sima #certificatmedical #respiration #respirer #var #cotedazur #marseille #monde #mondial #world #coolingsystem #water #waterproof #hotel #propretemaison #assenizator #menage #nettoyage #demo,"air,water,world,hotel,allergies,demo,waterproof,virus,marseille,medical,var,mondial,sima,seulaumonde,sante,asthmaproblems,monde,eau,purification,coolingsystem,maladie,cotedazur,respiration,nettoyage,respirer,bienetre,hyla,covid,menage,airpurifier,acariens,covid19,bienetreaunaturel,normessanitaires,poussieredansloeil,appareilmedicaux,eurovent,nanoparticules,certificatmedical,purificateurdair,nanoparticletechnology,assenizator,asthmeallergique,asthmeaigugrave,allergenes,appareilmedical,propretemaison",7173038557102214405,12,6704941952917309441,FR,4,1670103188,4,670
wimzenshop,MANIFIQUE SE PURIFICATEUR D'AIR,,7172610667457875205,0,7172610988000250629,FR,0,1670003630,0,1
julia_crazy88,#purello #purificateurdair #publicite,"publicite,purificateurdair,purello",7194056893235563782,14,7163756769607419905,FR,3,1674996902,0,372
julia_crazy88,Je peut vous le dire même en démo je l’adore je l’attend et il est vraiment bien #ritello #air #eau #aspirateurdeau #purificateurdair,"air,eau,ritello,purificateurdair,aspirateurdeau",7194056481921109254,2,7194056580424960774,FR,0,1674996806,0,47
julia_crazy88,#ritello #air #eau #purificateurdair #aspirateurdeau,"air,eau,ritello,purificateurdair,aspirateurdeau",7194055883666525446,2,7194055892966345478,FR,0,1674996666,0,47
puricenshop,Cendrier purificateur d’air #buyit #products #mademebuyit #puricen #shop,"shop,buyit,products,mademebuyit,puricen",7193780636212153606,33,6738456583379880706,FR,1,1674932581,2,1554
julia_crazy88,J’adore #purello #purificateurdair #air #eau,"air,eau,purificateurdair,purello",7193749199400307974,14,7107068305470392322,FR,1,1674925260,0,292
meilleur_carrefour,"Aujourd’hui, découvrez nos meilleures offres : - 0,99€ le sanytol purificateur d’air - 0,99€ l’organisateur de frigo 💗 Venez nombreux nous retrouver au Carrefour de Saint Denis et au Carrefour de Rosny 2 🤩 #meilleur #meilleursprix #meilleuresoffres #meilleuresaffaires #bonplan #westfiel #rosny2 #rosnysousbois #carrefour #centrakor #stockomani #action #bm #noz #stockprive #auchan ","action,bm,noz,meilleur,auchan,carrefour,rosnysousbois,rosny2,centrakor,bonplan,stockomani,westfiel,meilleursprix,stockprive,meilleuresoffres,meilleuresaffaires",7193025849816321286,292,7193025843006032645,FR,6,1674756842,131,27653
tessvanessa,"#vanessa77 #vanessahyla  purificateur d'air pro et nettoyant toutes surfaces !  Me contacter pour plus d'information et si toi aussi tu veux ton purificateur de dingue breveté et certifiés.  #asmathique #covid #santérespiratoire  #purificateur #huileessentielle  il nettoie toute la maison, voiture et autres... ","vanessa77,covid,asmathique,huileessentielle,purificateur,santérespiratoire,vanessahyla",7192278602321333509,6,6732536571318257666,FR,1,1674582860,1,710
