query,querySlug,cluster,clusterLabel,text,videosNumber,ids
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glyphosate,360,7058670725296655621|7057511392819154182|7056687296925551877|7049703338060827909|7064526952689847557|7063202963380096261|7060766140900969733|7080970400691211525|7078406225813064965|7072338312719027462|7083969504807570694|7100937991048154373|7125081724605730053|7124779506333715717|7137621064133233926|7131255355463519494|7140646722484636933|7178232536265428230|7178163955028724998|7187792954625412358|7185184714158886149|7215103253061586181|7214893454344604934|7223285903559626010|7235874569733688603|7232635899199163675|7231069257755315483|7249889927826017562|7248583657336737050|7244981848063986970|7241836523023273243|7260527457453870363|7259672057317772570|7253954574459866395|7253145587430755610|7253108737865469211|7252983533440879898|7272094906087263521|7266185467685522721|7262471601667591456|7284395861491207457|7283888052714343712|7283413023845338400|7282807232897584417|7282395738087165217|7281680589344787744|7294933394159340832|7292080745584151841|7292078210798456097|7291630617710644513|7291267866215599393|7290886505545862432|7307309591283371296|7307285860230221089|7306906801058909473|7306560066688191776|7306219499928292641|7306073472533384480|7305826454682537249|7305817892803661089|7305082893917752609|7304013341515713824|7303795124130155809|7303605000339475745|7317951179185605920|7316069235082431776|7315875322954583329|7315385471733894432|7311956224566644001|7309138985073331489|7309138529643236641|7309134696259128608|7308802060856626464|7307899053805784352|7058670725296655621|7057511392819154182|7056687296925551877|7049703338060827909|7064526952689847557|7063202963380096261|7060766140900969733|7080970400691211525|7078406225813064965|7072338312719027462|7083969504807570694|7100937991048154373|7125081724605730053|7124779506333715717|7137621064133233926|7131255355463519494|7140646722484636933|7178232536265428230|7178163955028724998|7187792954625412358|7185184714158886149|7215103253061586181|7214893454344604934|7223285903559626010|7235874569733688603|7232635899199163675|7231069257755315483|7249889927826017562|7248583657336737050|7244981848063986970|7241836523023273243|7260527457453870363|7259672057317772570|7253954574459866395|7253145587430755610|7253108737865469211|7252983533440879898|7272094906087263521|7266185467685522721|7262471601667591456|7284395861491207457|7283888052714343712|7283413023845338400|7282807232897584417|7282395738087165217|7281680589344787744|7294933394159340832|7292080745584151841|7292078210798456097|7291630617710644513|7291267866215599393|7290886505545862432|7307309591283371296|7307285860230221089|7306906801058909473|7306560066688191776|7306219499928292641|7306073472533384480|7305826454682537249|7305817892803661089|7305082893917752609|7304013341515713824|7303795124130155809|7303605000339475745|7317951179185605920|7316069235082431776|7315875322954583329|7315385471733894432|7311956224566644001|7309138985073331489|7309138529643236641|7309134696259128608|7308802060856626464|7307899053805784352|7059164855194111279|7058670725296655621|7058394006094531887|7058291982816496943|7057962249276689711|7057949457073212719|7057698941634268463|7057511392819154182|7057355771419299118|7057205391234518318|7056832945411280175|7056687296925551877|7056617659529710894|7056536482663746863|7068954567383338242|7068684735811292458|7067764739518172462|7067027335400131867|7066146448731311406|7065886149373414658|7065846492111785262|7065552096812109057|7065407449389468930|7064969866637380910|7081349710610599214|7080970400691211525|7080706647202745646|7080374868008553770|7080267102107487534|7079961985844235566|7079390536095862042|7079238624629345578|7079176444521352494|7078782030481362222|7078723030389771526|7092119241280769322|7091948482524695813|7091378372009413931|7091293023258119470|7091101211973274923|7091061149143452974|7103925809299066158|7102591299475410222|7101700550541970731|7100937991048154373|7100889048444685614|7099819744081038638|7099615123660180778|7115130721395608874|7114861146158501163|7114832378006129962|7114326255675165995|7111832431111589166|7111667731149245742|7111456372780272942|7126685464479829294|7126659511611542830|7126626810384649518|7126551646305275178|7126550781624438058|7126332538284477739|7126221741793266950|7126192429346327854|7125957573903142190|7125876584594083118|7125842154315877674|7125809517954092331|7138041508342648110|7138028344158735659|7137902874595495195|7137874529291947307|7137822286459178286|7137723543537601797|7137621064133233926|7137474774124481838|7137458427676364078|7137355332971400454|7137168557355470126|7137164955249331502|7149307964065778990|7149182759523896622|7149181556781878574|7148869620881952046|7148825671656164613|7148491275141057838|7148256401926769962|7160703878302813482|7160703107943419182|7160693020139081002|7160655763755552043|7160655124413680938|7160511527844400426|7160510590253976878|7160452681176272170|7160419711597956398|7160415983985888558|7159979439588199723|7159748016281373998|7159674655958175022|7159404453635001646|7171913514695593222|7171577301816200490|7171244957251046702|7171084657713286443|7170582969474665774|7170021757263334702|7183418293389380910|7183340848401337646|7183119669258128683|7182993558264352046|7181913461780352302|7181913017855053102|7181543793789816107|7181297951539547434|7194907170100792622|7194792106114682118|7194536473859755307|7194218083467316526|7193930083940207915|7193787540556729646|7193758948258762026|7205243604753747227|7205230685336980779|7204992402405215531|7204923679220731141|7204786461852405019|7204670039906159915|7204548253113683243|7204544514881588523|7216843275955604778|7216790312771947818|7216768426281389358|7216467926763719978|7216437942120713515|7216425182989241643|7216362178486603050|7216316067843427630|7216193093496737066|7216088253013806379|7216041205656931630|7216038088508968238|7227653324231724330|7227594704257420590|7227526414952615211|7227506450862574894|7227291899969932590|7227217073481567530|7227098069668711726|7227049599280696603|7227026652595817734|7239373272394059054|7239357160390544686|7239346526839950600|7239335585951894826|7239121237295877418|7239084391081725226|7239072468571262254|7238790737138158894|7238790036743884075|7238789803792174382|7238789225955495211|7238788689885711659|7238787963952434474|7250535994733169962|7250387428194684165|7250223982572555562|7250200692605111595|7262074955968482606|7262018781285764383|7261828709592681774|7261788672117394734|7261660232034569515|7261531437084511490|7261513858194443562|7261337503402102058|7261233087978327342|7261230632531922219|7273627845191142702|7273499739004652846|7273455658127625514|7273272789765786923|7273252967153798442|7273212875701816607|7284680015881588001|7284530044746140961|7284492817034923307|7284490036060409118|7284489139012078894|7284423770540952863|7284395861491207457|7284362018839170334|7284356531208899883|7284355428069149994|7296265773578767662|7296221162684665093|7296122218210200878|7296089614807371054|7296078746409340192|7295938904027401518|7295910236034977070|7295857062095932714|7307309591283371296|7307285860230221089|7307255023312981291|7307171563156163841|7306906801058909473|7306801545390099744|7318703868857175302|7318442049584254240|7318400014332611871|7318254133834829099|7318222187691871518
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glyphosatefree,54,7057511392819154182|7057511392819154182|7057511392819154182|7069852132203056430|7067306181265607982|7080267102107487534|7091720238063996203|7103542928961883438|7101499264932711726|7100959042989837610|7099657406711385386|7114326255675165995|7113614209623084334|7112986036594068782|7125842154315877674|7125809517954092331|7138009462115175726|7137914424710581550|7149324672557944106|7148838505618197806|7148489423338868010|7159643371508813102|7159617330991877419|7171221649189014827|7182938044755135790|7182724649850096938|7182641843547557166|7182412473851497774|7181913461780352302|7181913017855053102|7194899387040976170|7194085897883847982|7193417996763680043|7204898558040886571|7216859538689936683|7227594704257420590|7227244739249048874|7227172948724059438|7238675838244359470|7250522406194892059|7250373314244332827|7250310208885394731|7261666726666980651|7261269567475911982|7261078379250601259|7273634768691039534|7273589288288226590|7273288656645819653|7273231569802906911|7273212875701816607|7273099717028957483|7296089614807371054|7306856973981453600|7306750677244546335
glyphosate,glyphosate,glyphosate-free,Glyphosate free,0glyphosate,6,7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206|7091962979280866565|7091578825045331206
glyphosate,glyphosate,glyphosate-free,Glyphosate free,goo,3,7137621064133233926|7137621064133233926|7137621064133233926
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glyphosateawareness,26,7140646722484636933|7305762207134911777|7140646722484636933|7305762207134911777|7068016781868338478|7091720238063996203|7102543079877463339|7114326255675165995|7126685464479829294|7126659511611542830|7171084657713286443|7170549929864285486|7180901522144972078|7194276420502441262|7194218083467316526|7193930083940207915|7216790312771947818|7239357160390544686|7273455658127625514|7273272789765786923|7273212875701816607|7284423770540952863|7296237105112501547|7296222597480451359|7296221162684665093|7307380569233591598
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glyphosatefreefood,5,7292078210798456097|7292078210798456097|7159643371508813102|7194899387040976170|7204992402405215531
glyphosate,glyphosate,glyphosate-free,Glyphosate free,gluten,15,7291591484019576096|7290886505545862432|7291591484019576096|7290886505545862432|7079961985844235566|7114861146158501163|7114832378006129962|7137902874595495195|7181297951539547434|7193758948258762026|7216316067843427630|7227113633182911790|7262099373444615454|7261337503402102058|7296122218210200878
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glutenfree,12,7290886505545862432|7290886505545862432|7091293023258119470|7114861146158501163|7114832378006129962|7126626810384649518|7159617330991877419|7193758948258762026|7227113633182911790|7262099373444615454|7261078379250601259|7296122218210200878
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glyphosatedetox,5,7066113751279406383|7091720238063996203|7126685464479829294|7171656071423986990|7284423770540952863
glyphosate,glyphosate,glyphosate-free,Glyphosate free,greenscreen,9,7092119241280769322|7114861146158501163|7114832378006129962|7171610402516782382|7171577301816200490|7171244957251046702|7216038088508968238|7227525247141023022|7273563234588839214
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glyphosatetoxicity,3,7091720238063996203|7284423770540952863|7296221162684665093
glyphosate,glyphosate,glyphosate-free,Glyphosate free,gutmicrobiome,3,7091061149143452974|7284490036060409118|7306948960462179627
glyphosate,glyphosate,glyphosate-free,Glyphosate free,gmo,10,7099819744081038638|7111832431111589166|7125659097881513262|7159404453635001646|7182993558264352046|7273535847021088046|7284356531208899883|7284355428069149994|7295910236034977070|7318222187691871518
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glutenintolerance,3,7114832378006129962|7193758948258762026|7227113633182911790
glyphosate,glyphosate,glyphosate-free,Glyphosate free,glycine,3,7171244957251046702|7170549929864285486|7239335585951894826
