query,cluster,text,videosNumber,ids
air purifier,7,tiktoknews,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,7,usatiktok,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,7,tiktokmusthave,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,7,usatiktok🇺🇸♥️😘🤗,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,7,tiktokviral,3,7247476200560463000|7243854603798711000|7241269362798120000
air purifier,8,december,5,7308455815042567000|7169248153902812000|7166637803013443000|7172545266812243000|7308455815042567000
air purifier,8,christmas,4,7314276165584293000|7166637803013443000|7172545266812243000|7314276165584293000
air purifier,8,noel,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,holidays,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmaseve,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmasspirit,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,natale,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmasmood,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmasvibes,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmascountdown,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmasdecorating,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmasgift,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmasornaments,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,christmasmagic,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,8,holidaydecor,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,9,foryou,27,7309113621127253000|7068193450339945000|7117620935255002000|7169248153902812000|7166637803013443000|7166272805489692000|7173415665817226000|7172545266812243000|7202674137012194000|7202673874075454000|7202673850876792000|7199710248297352000|7195956715265789000|7195866359291481000|7220713741858573000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7271913801769881000|7271629302037368000|7288014754591952000|7299109827920285000|7309113621127253000|7094301951470472000|7232287834248416000|7309113621127253000
air purifier,9,foryoupage,23,7169248153902812000|7166637803013443000|7166272805489692000|7173415665817226000|7172545266812243000|7195956715265789000|7195866359291481000|7220713741858573000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000|7288014754591952000|7299109827920285000|7318143742056156000|7094301951470472000|7196676928420498000|7196228434794761000|7219978896555494000
air purifier,9,cigrate,13,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
