id,title,rank,keyword_Location,cluster,clusterLabel
846109848,Ecologyst taking a Water Sample,26,Slovenia,experts_analysing,Experts analysing
1441706837,pollution of plastic waste in the reservoir.,27,Indonesia,other,Other
164510060,Water pollution,28,Europe,other,Other
823352846,Water Tap With Running Dirty Muddy Water in a Sink,29,Bulgaria,other,Other
176958755,Oil spill,30,,oil_in_water,Oil in water
1256095329,Water Purity Test. Hand in protective gloves holding a chemical flask or test tube with water. Lake in the background.,31,,experts_analysing,Experts analysing
1342216348,"Surface pollution on the Leeds Liverpool Canal in Lancashire, England, UK",32,England|UK,other,Other
1400064118,Discharge of dirty waste water into the sea,33,USA,other,Other
1392191869,Scientist or biologist wearing protective uniforms analyze  the waste water flow to the sea,34,Thailand,other,Other
168586597,Water pollution,35,Lagoa - Rio de Janeiro,other,Other
497747722,Industrial pipe discharging liquid waste,36,,other,Other
182925285,Drain,37,,other,Other
1022904148,Plastic waste floating in the ocean,38,Latin America|Cuba,other,Other
523864374,Scientist examing toxic water,39,,experts_analysing,Experts analysing
1150654925,Globe of the earth in a plastic black bag like trash on white background,40,Italy,other,Other
509212589,Garbage and bottles floating on water,41,Kathmandu|Asia|Pashupatinath|India,other,Other
606669682,Scientist examing toxic water,42,,experts_analysing,Experts analysing
464077429,Water pollution,43,,other,Other
940880264,Beach pollution. Plastic bottles and other trash on river .,44,Thailand,other,Other
1407975990,"Oil leak from Ship , Oil spill pollution polluted water surface. water pollution as a result of human activities. industrial chemical contamination. oil spill at sea. petroleum products.",45,Thailand,other,Other
1396964668,Scientist wearing safety uniform and glove under working water analysis and water quality by get waste water to check case in laboratory is environment pollution problem concept.,46,Thailand,experts_analysing,Experts analysing
1181430920,"Plastic bottle, pollution that floats in the ocean",47,Netherlands,waste_underwater,Waste underwater
174111700,researcher testing the water quality,48,,other,Other
543834352,underwater sewer pipe,49,,other,Other
522746484,Child's Hands Under Water Tap,50,Africa|India|Asia|Nepal,other,Other
1135208857,Spilled garbage on the beach of the big city. Empty used dirty plastic bottles. Empty used dirty plastic bottles. Dirty sea sandy shore of the Black Sea. Environmental pollution. Ecological problem,51,Bulgaria,waste_on_the_beach,Waste on the beach
1036767280,Sea water contaminated by micro plastic.,52,West Asia|Egypt,waste_underwater,Waste underwater
637482404,Shacks along a polluted canal,53,Asia|Southeast Asia|Metro Manila|Philippines|Greater Manila Area|Manila - Philippines,villages_river,Villages river
466727669,Industrial landscape pollution,54,,other,Other
1465183004,"Indian ocean and plastic trash, aerial view. Pollution by plastic rubbish",55,Indonesia|Asia,other,Other
922751648,"extremely polluted waters, white foam and slick of oil on the sea",56,Italy,oil_in_water,Oil in water
174484650,big plastic pollution,57,Romania,other,Other
1276426633,SOS Word Made Up of Plastic Waste on Water Surface,58,Finland,other,Other
1306722048,Flooded vaulted sewer tunnel with water reflection,59,Russia,other,Other
1332142436,Drainage canal of the bangkok river,60,Thailand,pipes,Pipes
1333788104,Sewage or sewage water flows out of the drain pipe into the river,61,Russia,pipes,Pipes
1297432545,Modern Powerplant producing heat,62,China - East Asia,other,Other
1419513730,"Oil leak from Ship , Oil spill pollution polluted water surface water pollution as a result of human activities. industrial chemical contamination. oil spill at sea. petroleum products. Insurance",63,Thailand,other,Other
1252802537,Plastic pollution in ocean,64,Malaysia,waste_underwater,Waste underwater
1323354938,Ecology subject: sewer pours out waste to the lake/sewage from the sewer pollutes a lake,65,Ukraine,pipes,Pipes
1141999585,Underwater global problem with plastic rubbish,66,Egypt|West Asia,waste_underwater,Waste underwater
1401337232,Close up of female environmentalist hands in glove collects water samples from a river to explore and testing for infections. Water and ecology concept,67,Thailand,experts_analysing,Experts analysing
1137151854,River pollution flowing into the sea,68,Italy,other,Other
1133236305,Ecological water sampling,69,Serbia,experts_analysing,Experts analysing
1338412518,A drainage ditch in the Donaumoos,70,Bavaria|Europe|Germany,other,Other
525024756,Psychedelic Abstract of Toxic Oil Pollution on Water,71,,oil_in_water,Oil in water
1127177656,Oil polluted ocean surface as background or backdrop,72,Russia,oil_in_water,Oil in water
521815070,Child's Hands Under Water Tap,73,Africa|India|Asia|Nepal,other,Other
1190507022,"Clarifier at wastewater treatment plant, aerial view",74,Europe|Germany,water_clarifiers,Water clarifiers
587193752,wastewater,75,,pipes,Pipes
605964906,Starfish and oilspill,76,Taean,other,Other
1325910570,Collecting Water Samples To Test,77,UK,experts_analysing,Experts analysing
1186164592,"garbage iceberg in water, a large trash spot in the Pacific Ocean.",78,Netherlands,waste_underwater,Waste underwater
1292215840,Plastic waste pollution underwater and sea turtle,79,France,waste_underwater,Waste underwater
1442904386,Devestating shot of plastic waste in the ocean. Water Pollution.,80,,other,Other
